intent,answer
debit_card_block,I can help you with that. Please block your debit card immediately using mobile banking or customer care Please let me know if you need further help.
debit_card_block,"I can help you with that. Please block your debit card immediately using mobile banking or customer care If you need more assistance, feel free to ask."
debit_card_block,I can help you with that. Please block your debit card immediately using mobile banking or customer care Thank you for calling.
debit_card_block,I can help you with that. Please block your debit card immediately using mobile banking or customer care I hope this helps.
debit_card_block,I can help you with that. You should block the lost debit card as soon as possible through the bank app
debit_card_block,I can help you with that. You should block the lost debit card as soon as possible through the bank app Please let me know if you need further help.
debit_card_block,"I can help you with that. You should block the lost debit card as soon as possible through the bank app If you need more assistance, feel free to ask."
debit_card_block,I can help you with that. You should block the lost debit card as soon as possible through the bank app Thank you for calling.
debit_card_block,I can help you with that. You should block the lost debit card as soon as possible through the bank app I hope this helps.
debit_card_block,"I can help you with that. For your safety, block the debit card immediately using available banking services"
debit_card_block,"I can help you with that. For your safety, block the debit card immediately using available banking services Please let me know if you need further help."
debit_card_block,"I can help you with that. For your safety, block the debit card immediately using available banking services If you need more assistance, feel free to ask."
debit_card_block,"I can help you with that. For your safety, block the debit card immediately using available banking services Thank you for calling."
debit_card_block,"I can help you with that. For your safety, block the debit card immediately using available banking services I hope this helps."
debit_card_block,Certainly. Please block your debit card immediately using mobile banking or customer care
debit_card_block,Certainly. Please block your debit card immediately using mobile banking or customer care Please let me know if you need further help.
debit_card_block,"Certainly. Please block your debit card immediately using mobile banking or customer care If you need more assistance, feel free to ask."
debit_card_block,Certainly. Please block your debit card immediately using mobile banking or customer care Thank you for calling.
debit_card_block,Certainly. Please block your debit card immediately using mobile banking or customer care I hope this helps.
debit_card_block,Certainly. You should block the lost debit card as soon as possible through the bank app
debit_card_block,Certainly. You should block the lost debit card as soon as possible through the bank app Please let me know if you need further help.
debit_card_block,"Certainly. You should block the lost debit card as soon as possible through the bank app If you need more assistance, feel free to ask."
debit_card_block,Certainly. You should block the lost debit card as soon as possible through the bank app Thank you for calling.
debit_card_block,Certainly. You should block the lost debit card as soon as possible through the bank app I hope this helps.
debit_card_block,"Certainly. For your safety, block the debit card immediately using available banking services"
debit_card_block,"Certainly. For your safety, block the debit card immediately using available banking services Please let me know if you need further help."
debit_card_block,"Certainly. For your safety, block the debit card immediately using available banking services If you need more assistance, feel free to ask."
debit_card_block,"Certainly. For your safety, block the debit card immediately using available banking services Thank you for calling."
debit_card_block,"Certainly. For your safety, block the debit card immediately using available banking services I hope this helps."
upi_issue,"Sure. Upi issues can happen sometimes, please check your internet connection and try again"
upi_issue,"Sure. Upi issues can happen sometimes, please check your internet connection and try again Please let me know if you need further help."
upi_issue,"Sure. Upi issues can happen sometimes, please check your internet connection and try again If you need more assistance, feel free to ask."
upi_issue,"Sure. Upi issues can happen sometimes, please check your internet connection and try again Thank you for calling."
upi_issue,"Sure. Upi issues can happen sometimes, please check your internet connection and try again I hope this helps."
upi_issue,Sure. You may restart the app and try the upi transaction again
upi_issue,Sure. You may restart the app and try the upi transaction again Please let me know if you need further help.
upi_issue,"Sure. You may restart the app and try the upi transaction again If you need more assistance, feel free to ask."
upi_issue,Sure. You may restart the app and try the upi transaction again Thank you for calling.
upi_issue,Sure. You may restart the app and try the upi transaction again I hope this helps.
upi_issue,"Sure. If the issue continues, please contact customer care or visit the branch"
upi_issue,"Sure. If the issue continues, please contact customer care or visit the branch Please let me know if you need further help."
upi_issue,"Sure. If the issue continues, please contact customer care or visit the branch If you need more assistance, feel free to ask."
upi_issue,"Sure. If the issue continues, please contact customer care or visit the branch Thank you for calling."
upi_issue,"Sure. If the issue continues, please contact customer care or visit the branch I hope this helps."
upi_issue,"I understand. Upi issues can happen sometimes, please check your internet connection and try again"
upi_issue,"I understand. Upi issues can happen sometimes, please check your internet connection and try again Please let me know if you need further help."
upi_issue,"I understand. Upi issues can happen sometimes, please check your internet connection and try again If you need more assistance, feel free to ask."
upi_issue,"I understand. Upi issues can happen sometimes, please check your internet connection and try again Thank you for calling."
upi_issue,"I understand. Upi issues can happen sometimes, please check your internet connection and try again I hope this helps."
upi_issue,I understand. You may restart the app and try the upi transaction again
upi_issue,I understand. You may restart the app and try the upi transaction again Please let me know if you need further help.
upi_issue,"I understand. You may restart the app and try the upi transaction again If you need more assistance, feel free to ask."
upi_issue,I understand. You may restart the app and try the upi transaction again Thank you for calling.
upi_issue,I understand. You may restart the app and try the upi transaction again I hope this helps.
upi_issue,"I understand. If the issue continues, please contact customer care or visit the branch"
upi_issue,"I understand. If the issue continues, please contact customer care or visit the branch Please let me know if you need further help."
upi_issue,"I understand. If the issue continues, please contact customer care or visit the branch If you need more assistance, feel free to ask."
upi_issue,"I understand. If the issue continues, please contact customer care or visit the branch Thank you for calling."
upi_issue,"I understand. If the issue continues, please contact customer care or visit the branch I hope this helps."
upi_issue,"No problem. Upi issues can happen sometimes, please check your internet connection and try again"
upi_issue,"No problem. Upi issues can happen sometimes, please check your internet connection and try again Please let me know if you need further help."
upi_issue,"No problem. Upi issues can happen sometimes, please check your internet connection and try again If you need more assistance, feel free to ask."
upi_issue,"No problem. Upi issues can happen sometimes, please check your internet connection and try again Thank you for calling."
upi_issue,"No problem. Upi issues can happen sometimes, please check your internet connection and try again I hope this helps."
upi_issue,No problem. You may restart the app and try the upi transaction again
upi_issue,No problem. You may restart the app and try the upi transaction again Please let me know if you need further help.
upi_issue,"No problem. You may restart the app and try the upi transaction again If you need more assistance, feel free to ask."
upi_issue,No problem. You may restart the app and try the upi transaction again Thank you for calling.
upi_issue,No problem. You may restart the app and try the upi transaction again I hope this helps.
upi_issue,"No problem. If the issue continues, please contact customer care or visit the branch"
upi_issue,"No problem. If the issue continues, please contact customer care or visit the branch Please let me know if you need further help."
upi_issue,"No problem. If the issue continues, please contact customer care or visit the branch If you need more assistance, feel free to ask."
upi_issue,"No problem. If the issue continues, please contact customer care or visit the branch Thank you for calling."
upi_issue,"No problem. If the issue continues, please contact customer care or visit the branch I hope this helps."
upi_issue,"I can help you with that. Upi issues can happen sometimes, please check your internet connection and try again"
upi_issue,"I can help you with that. Upi issues can happen sometimes, please check your internet connection and try again Please let me know if you need further help."
upi_issue,"I can help you with that. Upi issues can happen sometimes, please check your internet connection and try again If you need more assistance, feel free to ask."
upi_issue,"I can help you with that. Upi issues can happen sometimes, please check your internet connection and try again Thank you for calling."
upi_issue,"I can help you with that. Upi issues can happen sometimes, please check your internet connection and try again I hope this helps."
upi_issue,I can help you with that. You may restart the app and try the upi transaction again
upi_issue,I can help you with that. You may restart the app and try the upi transaction again Please let me know if you need further help.
upi_issue,"I can help you with that. You may restart the app and try the upi transaction again If you need more assistance, feel free to ask."
upi_issue,I can help you with that. You may restart the app and try the upi transaction again Thank you for calling.
upi_issue,I can help you with that. You may restart the app and try the upi transaction again I hope this helps.
upi_issue,"I can help you with that. If the issue continues, please contact customer care or visit the branch"
upi_issue,"I can help you with that. If the issue continues, please contact customer care or visit the branch Please let me know if you need further help."
upi_issue,"I can help you with that. If the issue continues, please contact customer care or visit the branch If you need more assistance, feel free to ask."
upi_issue,"I can help you with that. If the issue continues, please contact customer care or visit the branch Thank you for calling."
upi_issue,"I can help you with that. If the issue continues, please contact customer care or visit the branch I hope this helps."
upi_issue,"Certainly. Upi issues can happen sometimes, please check your internet connection and try again"
upi_issue,"Certainly. Upi issues can happen sometimes, please check your internet connection and try again Please let me know if you need further help."
upi_issue,"Certainly. Upi issues can happen sometimes, please check your internet connection and try again If you need more assistance, feel free to ask."
upi_issue,"Certainly. Upi issues can happen sometimes, please check your internet connection and try again Thank you for calling."
upi_issue,"Certainly. Upi issues can happen sometimes, please check your internet connection and try again I hope this helps."
upi_issue,Certainly. You may restart the app and try the upi transaction again
upi_issue,Certainly. You may restart the app and try the upi transaction again Please let me know if you need further help.
upi_issue,"Certainly. You may restart the app and try the upi transaction again If you need more assistance, feel free to ask."
upi_issue,Certainly. You may restart the app and try the upi transaction again Thank you for calling.
upi_issue,Certainly. You may restart the app and try the upi transaction again I hope this helps.
upi_issue,"Certainly. If the issue continues, please contact customer care or visit the branch"
upi_issue,"Certainly. If the issue continues, please contact customer care or visit the branch Please let me know if you need further help."
upi_issue,"Certainly. If the issue continues, please contact customer care or visit the branch If you need more assistance, feel free to ask."
upi_issue,"Certainly. If the issue continues, please contact customer care or visit the branch Thank you for calling."
upi_issue,"Certainly. If the issue continues, please contact customer care or visit the branch I hope this helps."
kyc_update,"Sure. To update your kyc, please visit the branch with aadhaar and pan card"
kyc_update,"Sure. To update your kyc, please visit the branch with aadhaar and pan card Please let me know if you need further help."
kyc_update,"Sure. To update your kyc, please visit the branch with aadhaar and pan card If you need more assistance, feel free to ask."
kyc_update,"Sure. To update your kyc, please visit the branch with aadhaar and pan card Thank you for calling."
kyc_update,"Sure. To update your kyc, please visit the branch with aadhaar and pan card I hope this helps."
kyc_update,Sure. You can update kyc by submitting required documents at the bank branch
kyc_update,Sure. You can update kyc by submitting required documents at the bank branch Please let me know if you need further help.
kyc_update,"Sure. You can update kyc by submitting required documents at the bank branch If you need more assistance, feel free to ask."
kyc_update,Sure. You can update kyc by submitting required documents at the bank branch Thank you for calling.
kyc_update,Sure. You can update kyc by submitting required documents at the bank branch I hope this helps.
kyc_update,Sure. Please carry original documents for kyc verification at your nearest branch
kyc_update,Sure. Please carry original documents for kyc verification at your nearest branch Please let me know if you need further help.
kyc_update,"Sure. Please carry original documents for kyc verification at your nearest branch If you need more assistance, feel free to ask."
kyc_update,Sure. Please carry original documents for kyc verification at your nearest branch Thank you for calling.
kyc_update,Sure. Please carry original documents for kyc verification at your nearest branch I hope this helps.
kyc_update,"I understand. To update your kyc, please visit the branch with aadhaar and pan card"
kyc_update,"I understand. To update your kyc, please visit the branch with aadhaar and pan card Please let me know if you need further help."
kyc_update,"I understand. To update your kyc, please visit the branch with aadhaar and pan card If you need more assistance, feel free to ask."
kyc_update,"I understand. To update your kyc, please visit the branch with aadhaar and pan card Thank you for calling."
kyc_update,"I understand. To update your kyc, please visit the branch with aadhaar and pan card I hope this helps."
kyc_update,I understand. You can update kyc by submitting required documents at the bank branch
kyc_update,I understand. You can update kyc by submitting required documents at the bank branch Please let me know if you need further help.
kyc_update,"I understand. You can update kyc by submitting required documents at the bank branch If you need more assistance, feel free to ask."
kyc_update,I understand. You can update kyc by submitting required documents at the bank branch Thank you for calling.
kyc_update,I understand. You can update kyc by submitting required documents at the bank branch I hope this helps.
kyc_update,I understand. Please carry original documents for kyc verification at your nearest branch
kyc_update,I understand. Please carry original documents for kyc verification at your nearest branch Please let me know if you need further help.
kyc_update,"I understand. Please carry original documents for kyc verification at your nearest branch If you need more assistance, feel free to ask."
kyc_update,I understand. Please carry original documents for kyc verification at your nearest branch Thank you for calling.
kyc_update,I understand. Please carry original documents for kyc verification at your nearest branch I hope this helps.
kyc_update,"No problem. To update your kyc, please visit the branch with aadhaar and pan card"
kyc_update,"No problem. To update your kyc, please visit the branch with aadhaar and pan card Please let me know if you need further help."
kyc_update,"No problem. To update your kyc, please visit the branch with aadhaar and pan card If you need more assistance, feel free to ask."
kyc_update,"No problem. To update your kyc, please visit the branch with aadhaar and pan card Thank you for calling."
kyc_update,"No problem. To update your kyc, please visit the branch with aadhaar and pan card I hope this helps."
kyc_update,No problem. You can update kyc by submitting required documents at the bank branch
kyc_update,No problem. You can update kyc by submitting required documents at the bank branch Please let me know if you need further help.
kyc_update,"No problem. You can update kyc by submitting required documents at the bank branch If you need more assistance, feel free to ask."
kyc_update,No problem. You can update kyc by submitting required documents at the bank branch Thank you for calling.
kyc_update,No problem. You can update kyc by submitting required documents at the bank branch I hope this helps.
kyc_update,No problem. Please carry original documents for kyc verification at your nearest branch
kyc_update,No problem. Please carry original documents for kyc verification at your nearest branch Please let me know if you need further help.
kyc_update,"No problem. Please carry original documents for kyc verification at your nearest branch If you need more assistance, feel free to ask."
kyc_update,No problem. Please carry original documents for kyc verification at your nearest branch Thank you for calling.
kyc_update,No problem. Please carry original documents for kyc verification at your nearest branch I hope this helps.
kyc_update,"I can help you with that. To update your kyc, please visit the branch with aadhaar and pan card"
kyc_update,"I can help you with that. To update your kyc, please visit the branch with aadhaar and pan card Please let me know if you need further help."
kyc_update,"I can help you with that. To update your kyc, please visit the branch with aadhaar and pan card If you need more assistance, feel free to ask."
kyc_update,"I can help you with that. To update your kyc, please visit the branch with aadhaar and pan card Thank you for calling."
kyc_update,"I can help you with that. To update your kyc, please visit the branch with aadhaar and pan card I hope this helps."
kyc_update,I can help you with that. You can update kyc by submitting required documents at the bank branch
kyc_update,I can help you with that. You can update kyc by submitting required documents at the bank branch Please let me know if you need further help.
kyc_update,"I can help you with that. You can update kyc by submitting required documents at the bank branch If you need more assistance, feel free to ask."
kyc_update,I can help you with that. You can update kyc by submitting required documents at the bank branch Thank you for calling.
kyc_update,I can help you with that. You can update kyc by submitting required documents at the bank branch I hope this helps.
kyc_update,I can help you with that. Please carry original documents for kyc verification at your nearest branch
kyc_update,I can help you with that. Please carry original documents for kyc verification at your nearest branch Please let me know if you need further help.
kyc_update,"I can help you with that. Please carry original documents for kyc verification at your nearest branch If you need more assistance, feel free to ask."
kyc_update,I can help you with that. Please carry original documents for kyc verification at your nearest branch Thank you for calling.
kyc_update,I can help you with that. Please carry original documents for kyc verification at your nearest branch I hope this helps.
kyc_update,"Certainly. To update your kyc, please visit the branch with aadhaar and pan card"
kyc_update,"Certainly. To update your kyc, please visit the branch with aadhaar and pan card Please let me know if you need further help."
kyc_update,"Certainly. To update your kyc, please visit the branch with aadhaar and pan card If you need more assistance, feel free to ask."
kyc_update,"Certainly. To update your kyc, please visit the branch with aadhaar and pan card Thank you for calling."
kyc_update,"Certainly. To update your kyc, please visit the branch with aadhaar and pan card I hope this helps."
kyc_update,Certainly. You can update kyc by submitting required documents at the bank branch
kyc_update,Certainly. You can update kyc by submitting required documents at the bank branch Please let me know if you need further help.
kyc_update,"Certainly. You can update kyc by submitting required documents at the bank branch If you need more assistance, feel free to ask."
kyc_update,Certainly. You can update kyc by submitting required documents at the bank branch Thank you for calling.
kyc_update,Certainly. You can update kyc by submitting required documents at the bank branch I hope this helps.
kyc_update,Certainly. Please carry original documents for kyc verification at your nearest branch
kyc_update,Certainly. Please carry original documents for kyc verification at your nearest branch Please let me know if you need further help.
kyc_update,"Certainly. Please carry original documents for kyc verification at your nearest branch If you need more assistance, feel free to ask."
kyc_update,Certainly. Please carry original documents for kyc verification at your nearest branch Thank you for calling.
kyc_update,Certainly. Please carry original documents for kyc verification at your nearest branch I hope this helps.
loan_info,Sure. Loan details can be obtained by visiting the branch or contacting customer support
loan_info,Sure. Loan details can be obtained by visiting the branch or contacting customer support Please let me know if you need further help.
loan_info,"Sure. Loan details can be obtained by visiting the branch or contacting customer support If you need more assistance, feel free to ask."
loan_info,Sure. Loan details can be obtained by visiting the branch or contacting customer support Thank you for calling.
loan_info,Sure. Loan details can be obtained by visiting the branch or contacting customer support I hope this helps.
loan_info,Sure. You may apply for a loan by submitting the required documents at the bank
loan_info,Sure. You may apply for a loan by submitting the required documents at the bank Please let me know if you need further help.
loan_info,"Sure. You may apply for a loan by submitting the required documents at the bank If you need more assistance, feel free to ask."
loan_info,Sure. You may apply for a loan by submitting the required documents at the bank Thank you for calling.
loan_info,Sure. You may apply for a loan by submitting the required documents at the bank I hope this helps.
loan_info,Sure. Bank staff will guide you regarding loan eligibility and documents
loan_info,Sure. Bank staff will guide you regarding loan eligibility and documents Please let me know if you need further help.
loan_info,"Sure. Bank staff will guide you regarding loan eligibility and documents If you need more assistance, feel free to ask."
loan_info,Sure. Bank staff will guide you regarding loan eligibility and documents Thank you for calling.
loan_info,Sure. Bank staff will guide you regarding loan eligibility and documents I hope this helps.
loan_info,I understand. Loan details can be obtained by visiting the branch or contacting customer support
loan_info,I understand. Loan details can be obtained by visiting the branch or contacting customer support Please let me know if you need further help.
loan_info,"I understand. Loan details can be obtained by visiting the branch or contacting customer support If you need more assistance, feel free to ask."
loan_info,I understand. Loan details can be obtained by visiting the branch or contacting customer support Thank you for calling.
loan_info,I understand. Loan details can be obtained by visiting the branch or contacting customer support I hope this helps.
loan_info,I understand. You may apply for a loan by submitting the required documents at the bank
loan_info,I understand. You may apply for a loan by submitting the required documents at the bank Please let me know if you need further help.
loan_info,"I understand. You may apply for a loan by submitting the required documents at the bank If you need more assistance, feel free to ask."
loan_info,I understand. You may apply for a loan by submitting the required documents at the bank Thank you for calling.
loan_info,I understand. You may apply for a loan by submitting the required documents at the bank I hope this helps.
loan_info,I understand. Bank staff will guide you regarding loan eligibility and documents
loan_info,I understand. Bank staff will guide you regarding loan eligibility and documents Please let me know if you need further help.
loan_info,"I understand. Bank staff will guide you regarding loan eligibility and documents If you need more assistance, feel free to ask."
loan_info,I understand. Bank staff will guide you regarding loan eligibility and documents Thank you for calling.
loan_info,I understand. Bank staff will guide you regarding loan eligibility and documents I hope this helps.
loan_info,No problem. Loan details can be obtained by visiting the branch or contacting customer support
loan_info,No problem. Loan details can be obtained by visiting the branch or contacting customer support Please let me know if you need further help.
loan_info,"No problem. Loan details can be obtained by visiting the branch or contacting customer support If you need more assistance, feel free to ask."
loan_info,No problem. Loan details can be obtained by visiting the branch or contacting customer support Thank you for calling.
loan_info,No problem. Loan details can be obtained by visiting the branch or contacting customer support I hope this helps.
loan_info,No problem. You may apply for a loan by submitting the required documents at the bank
loan_info,No problem. You may apply for a loan by submitting the required documents at the bank Please let me know if you need further help.
loan_info,"No problem. You may apply for a loan by submitting the required documents at the bank If you need more assistance, feel free to ask."
loan_info,No problem. You may apply for a loan by submitting the required documents at the bank Thank you for calling.
loan_info,No problem. You may apply for a loan by submitting the required documents at the bank I hope this helps.
loan_info,No problem. Bank staff will guide you regarding loan eligibility and documents
loan_info,No problem. Bank staff will guide you regarding loan eligibility and documents Please let me know if you need further help.
loan_info,"No problem. Bank staff will guide you regarding loan eligibility and documents If you need more assistance, feel free to ask."
loan_info,No problem. Bank staff will guide you regarding loan eligibility and documents Thank you for calling.
loan_info,No problem. Bank staff will guide you regarding loan eligibility and documents I hope this helps.
loan_info,I can help you with that. Loan details can be obtained by visiting the branch or contacting customer support
loan_info,I can help you with that. Loan details can be obtained by visiting the branch or contacting customer support Please let me know if you need further help.
