sentence,intent
"Hi, last 5 transactions please",mini_statement
transaction history please,mini_statement
"Sir, recent transactions as soon as possible",mini_statement
I want to last 5 transactions as soon as possible,mini_statement
"Hi, last 5 transactions immediately",mini_statement
"Hi, last 5 transactions as soon as possible",mini_statement
Help me to mini statement please please,mini_statement
show my mini statement immediately,mini_statement
Can you recent transactions,mini_statement
last 5 transactions,mini_statement
"Hello, last 5 transactions immediately",mini_statement
Help me to mini statement please as soon as possible,mini_statement
Please mini statement please now,mini_statement
Kindly last 5 transactions,mini_statement
Help me to last 5 transactions today,mini_statement
last 5 transactions now,mini_statement
"Sir, transaction history immediately",mini_statement
Kindly recent transactions immediately,mini_statement
I want to transaction history please,mini_statement
Kindly last 5 transactions now,mini_statement
Can you mini statement please today,mini_statement
Please recent transactions as soon as possible,mini_statement
Kindly last 5 transactions please,mini_statement
"Sir, last 5 transactions as soon as possible",mini_statement
"Hello, recent transactions as soon as possible",mini_statement
recent transactions now,mini_statement
"Hello, transaction history today",mini_statement
"Hello, mini statement please today",mini_statement
I want to transaction history immediately,mini_statement
"Hello, mini statement please as soon as possible",mini_statement
I want to show my mini statement today,mini_statement
Kindly transaction history please,mini_statement
"Sir, last 5 transactions now",mini_statement
"Hello, transaction history today",mini_statement
Help me to mini statement please immediately,mini_statement
"Sir, recent transactions as soon as possible",mini_statement
I want to recent transactions now,mini_statement
transaction history,mini_statement
I want to show my mini statement today,mini_statement
Please last 5 transactions today,mini_statement
Please mini statement please please,mini_statement
"Sir, mini statement please now",mini_statement
"Hello, last 5 transactions today",mini_statement
Can you transaction history,mini_statement
I want to mini statement please now,mini_statement
mini statement please today,mini_statement
Can you recent transactions today,mini_statement
I want to transaction history today,mini_statement
"Sir, show my mini statement please",mini_statement
I want to transaction history today,mini_statement
Can you show my mini statement,mini_statement
"Sir, mini statement please today",mini_statement
"Hello, recent transactions now",mini_statement
Kindly recent transactions immediately,mini_statement
Help me to show my mini statement now,mini_statement
Kindly recent transactions now,mini_statement
"Hi, recent transactions now",mini_statement
Help me to show my mini statement now,mini_statement
Help me to mini statement please immediately,mini_statement
"Sir, last 5 transactions as soon as possible",mini_statement
Help me to show my mini statement today,mini_statement
show my mini statement immediately,mini_statement
"Hi, show my mini statement now",mini_statement
Please mini statement please immediately,mini_statement
I want to mini statement please as soon as possible,mini_statement
"Sir, show my mini statement immediately",mini_statement
Kindly recent transactions now,mini_statement
"Hello, mini statement please now",mini_statement
Help me to mini statement please as soon as possible,mini_statement
Help me to recent transactions today,mini_statement
Kindly recent transactions,mini_statement
Help me to last 5 transactions today,mini_statement
Can you last 5 transactions immediately,mini_statement
Can you show my mini statement,mini_statement
"Hi, recent transactions today",mini_statement
Kindly last 5 transactions immediately,mini_statement
Please show my mini statement please,mini_statement
Please transaction history immediately,mini_statement
Kindly show my mini statement,mini_statement
Kindly show my mini statement please,mini_statement
"Sir, recent transactions immediately",mini_statement
Can you last 5 transactions as soon as possible,mini_statement
"Hi, show my mini statement",mini_statement
I want to recent transactions,mini_statement
I want to transaction history immediately,mini_statement
Help me to transaction history immediately,mini_statement
show my mini statement,mini_statement
"Hello, recent transactions today",mini_statement
I want to recent transactions please,mini_statement
recent transactions immediately,mini_statement
"Hi, show my mini statement immediately",mini_statement
Help me to last 5 transactions today,mini_statement
Please last 5 transactions please,mini_statement
Kindly last 5 transactions,mini_statement
recent transactions as soon as possible,mini_statement
Can you transaction history as soon as possible,mini_statement
"Hi, last 5 transactions as soon as possible",mini_statement
Kindly mini statement please as soon as possible,mini_statement
"Sir, last 5 transactions please",mini_statement
Help me to mini statement please as soon as possible,mini_statement
recent transactions now,mini_statement
show my mini statement please,mini_statement
Kindly mini statement please now,mini_statement
Kindly last 5 transactions now,mini_statement
Can you transaction history please,mini_statement
"Sir, mini statement please as soon as possible",mini_statement
"Hi, show my mini statement immediately",mini_statement
"Hello, mini statement please immediately",mini_statement
Please show my mini statement please,mini_statement
recent transactions please,mini_statement
"Hi, recent transactions now",mini_statement
I want to last 5 transactions please,mini_statement
Can you show my mini statement,mini_statement
Help me to mini statement please please,mini_statement
I want to last 5 transactions please,mini_statement
Please transaction history as soon as possible,mini_statement
Can you recent transactions as soon as possible,mini_statement
Help me to show my mini statement immediately,mini_statement
Can you mini statement please as soon as possible,mini_statement
"Sir, last 5 transactions please",mini_statement
"Sir, mini statement please today",mini_statement
"Hi, show my mini statement now",mini_statement
"Hi, last 5 transactions now",mini_statement
Please transaction history,mini_statement
Kindly recent transactions please,mini_statement
Kindly last 5 transactions today,mini_statement
"Hi, show my mini statement",mini_statement
"Sir, transaction history immediately",mini_statement
"Hello, recent transactions now",mini_statement
"Hi, recent transactions today",mini_statement
Can you show my mini statement immediately,mini_statement
Kindly show my mini statement please,mini_statement
transaction history as soon as possible,mini_statement
"Sir, show my mini statement now",mini_statement
"Hi, recent transactions as soon as possible",mini_statement
Kindly mini statement please now,mini_statement
"Hello, mini statement please immediately",mini_statement
I want to show my mini statement today,mini_statement
"Hello, transaction history now",mini_statement
Help me to recent transactions today,mini_statement
"Sir, show my mini statement please",mini_statement
Kindly show my mini statement now,mini_statement
Please transaction history,mini_statement
show my mini statement please,mini_statement
Can you last 5 transactions now,mini_statement
Help me to show my mini statement immediately,mini_statement
"Hello, mini statement please please",mini_statement
"Hi, mini statement please today",mini_statement
Kindly recent transactions as soon as possible,mini_statement
Kindly transaction history please,mini_statement
"Hello, show my mini statement",mini_statement
Kindly mini statement please,mini_statement
I want to last 5 transactions immediately,mini_statement
I want to recent transactions today,mini_statement
"Hello, mini statement please",mini_statement
Please last 5 transactions please,mini_statement
Please recent transactions please,mini_statement
Can you show my mini statement,mini_statement
last 5 transactions please,mini_statement
Can you transaction history today,mini_statement
I want to mini statement please as soon as possible,mini_statement
"Sir, show my mini statement",mini_statement
"Hello, show my mini statement",mini_statement
Kindly transaction history as soon as possible,mini_statement
Help me to mini statement please please,mini_statement
Please recent transactions as soon as possible,mini_statement
"Sir, loan eligibility please",loan_info
loan eligibility now,loan_info
"Hi, loan interest details",loan_info
Please loan details immediately,loan_info
Please how to apply for loan today,loan_info
Help me to loan eligibility today,loan_info
Can you how to apply for loan,loan_info
"Hello, loan eligibility as soon as possible",loan_info
Help me to how to apply for loan please,loan_info
Help me to loan details,loan_info
Please loan details as soon as possible,loan_info
Kindly how to apply for loan today,loan_info
Kindly how to apply for loan immediately,loan_info
"Hello, how to apply for loan immediately",loan_info
loan details,loan_info
"Hi, loan interest details as soon as possible",loan_info
Kindly documents needed for loan immediately,loan_info
"Sir, how to apply for loan immediately",loan_info
Please loan eligibility,loan_info
Please loan details now,loan_info
loan details,loan_info
I want to loan interest details immediately,loan_info
Can you documents needed for loan now,loan_info
loan details as soon as possible,loan_info
Kindly loan details,loan_info
"Hi, loan interest details now",loan_info
Kindly loan details immediately,loan_info
loan details immediately,loan_info
"Hi, loan interest details please",loan_info
I want to loan eligibility,loan_info
"Hello, loan eligibility please",loan_info
"Hi, loan interest details immediately",loan_info
"Hi, loan details please",loan_info
Help me to loan details immediately,loan_info
Can you loan eligibility immediately,loan_info
Kindly loan eligibility immediately,loan_info
"Hi, loan details please",loan_info
"Hello, loan details as soon as possible",loan_info
"Hello, loan eligibility now",loan_info
Please loan details as soon as possible,loan_info
Please loan details now,loan_info
Please loan eligibility today,loan_info
Kindly loan interest details immediately,loan_info
"Hi, loan eligibility today",loan_info
loan eligibility immediately,loan_info
I want to how to apply for loan as soon as possible,loan_info
"Hello, loan eligibility please",loan_info
Help me to loan details immediately,loan_info
"Hello, loan interest details now",loan_info
Help me to loan eligibility immediately,loan_info
Help me to loan details now,loan_info
I want to loan details as soon as possible,loan_info
Can you documents needed for loan now,loan_info
Help me to loan interest details please,loan_info
Kindly documents needed for loan as soon as possible,loan_info
"Hi, how to apply for loan",loan_info
Please loan interest details now,loan_info
I want to loan eligibility,loan_info
"Sir, loan details please",loan_info
Kindly loan details today,loan_info
Please loan interest details now,loan_info
Can you loan eligibility now,loan_info
documents needed for loan immediately,loan_info
Please how to apply for loan please,loan_info
"Sir, documents needed for loan today",loan_info
Please loan interest details as soon as possible,loan_info
"Hello, loan interest details please",loan_info
"Sir, documents needed for loan today",loan_info
Please how to apply for loan,loan_info
"Hello, loan details as soon as possible",loan_info
Kindly loan details as soon as possible,loan_info
Please how to apply for loan,loan_info
Please how to apply for loan,loan_info
"Sir, loan interest details today",loan_info
"Sir, documents needed for loan now",loan_info
"Sir, loan details as soon as possible",loan_info
"Hello, loan interest details today",loan_info
Help me to how to apply for loan please,loan_info
"Sir, documents needed for loan immediately",loan_info
Can you loan details,loan_info
"Hi, documents needed for loan today",loan_info
"Hello, how to apply for loan",loan_info
I want to documents needed for loan now,loan_info
"Sir, loan details",loan_info
I want to loan details immediately,loan_info
Please how to apply for loan immediately,loan_info
I want to loan eligibility as soon as possible,loan_info
Please documents needed for loan now,loan_info
"Hi, loan interest details immediately",loan_info
I want to documents needed for loan,loan_info
Kindly how to apply for loan today,loan_info
"Hi, how to apply for loan as soon as possible",loan_info
"Sir, documents needed for loan as soon as possible",loan_info
Please how to apply for loan now,loan_info
I want to loan interest details today,loan_info
documents needed for loan,loan_info
"Sir, loan details today",loan_info
Help me to loan interest details as soon as possible,loan_info
"Sir, loan eligibility immediately",loan_info
Can you loan details now,loan_info
"Sir, loan interest details as soon as possible",loan_info
I want to documents needed for loan today,loan_info
Help me to loan details now,loan_info
I want to how to apply for loan,loan_info
Please documents needed for loan,loan_info
Kindly documents needed for loan as soon as possible,loan_info
Please loan details as soon as possible,loan_info
Can you how to apply for loan now,loan_info
Please loan interest details please,loan_info
Help me to how to apply for loan immediately,loan_info
"Hello, loan details immediately",loan_info
Kindly how to apply for loan now,loan_info
"Hi, loan details",loan_info
Help me to how to apply for loan now,loan_info
documents needed for loan please,loan_info
"Hello, documents needed for loan now",loan_info
Kindly how to apply for loan please,loan_info
documents needed for loan,loan_info
Please loan eligibility,loan_info
Help me to documents needed for loan today,loan_info
"Hi, documents needed for loan immediately",loan_info
Can you loan details now,loan_info
"Hello, documents needed for loan immediately",loan_info
Please how to apply for loan now,loan_info
Can you how to apply for loan immediately,loan_info
"Sir, loan details please",loan_info
"Hi, loan eligibility today",loan_info
"Hello, how to apply for loan please",loan_info
"Sir, loan eligibility please",loan_info
I want to how to apply for loan immediately,loan_info
I want to loan details as soon as possible,loan_info
"Sir, loan details today",loan_info
Can you loan details as soon as possible,loan_info
Please loan eligibility now,loan_info
Please loan eligibility please,loan_info
how to apply for loan please,loan_info
Can you loan interest details as soon as possible,loan_info
documents needed for loan now,loan_info
Help me to loan eligibility please,loan_info
Kindly how to apply for loan immediately,loan_info
loan details immediately,loan_info
Can you documents needed for loan now,loan_info
loan interest details please,loan_info
Help me to how to apply for loan,loan_info
Please loan interest details immediately,loan_info
Please how to apply for loan please,loan_info
I want to loan details as soon as possible,loan_info
Can you how to apply for loan,loan_info
Help me to loan interest details now,loan_info
Please loan details,loan_info
Can you loan eligibility today,loan_info
"Hi, loan interest details as soon as possible",loan_info
"Hello, loan interest details",loan_info
"Sir, how to apply for loan today",loan_info
Can you loan interest details please,loan_info
I want to loan details immediately,loan_info
"Hi, loan eligibility now",loan_info
Please how to apply for loan immediately,loan_info
how to apply for loan as soon as possible,loan_info
"Hi, loan interest details today",loan_info
I want to loan details now,loan_info
Help me to loan eligibility,loan_info
Can you loan eligibility today,loan_info
"Hello, loan interest details now",loan_info
Please loan details now,loan_info
"Hello, loan eligibility",loan_info
Help me to loan interest details please,loan_info
I want to documents needed for loan please,loan_info
I want to how to apply for loan please,loan_info
Help me to loan eligibility,loan_info
Please loan details today,loan_info
Help me to loan interest details please,loan_info
Help me to loan details now,loan_info
"Hi, loan eligibility now",loan_info
Help me to loan details now,loan_info
"Hello, loan interest details as soon as possible",loan_info
"Hi, how to apply for loan today",loan_info
"Hi, loan eligibility today",loan_info
Kindly loan details now,loan_info
Kindly loan details as soon as possible,loan_info
Can you documents needed for loan please,loan_info
"Sir, loan details today",loan_info
Can you documents needed for loan today,loan_info
Help me to documents needed for loan immediately,loan_info
"Hello, loan details",loan_info
Kindly how to apply for loan immediately,loan_info
"Sir, loan details as soon as possible",loan_info
Please loan details please,loan_info
"Hi, documents needed for loan now",loan_info
Kindly documents needed for loan,loan_info
I want to how to apply for loan immediately,loan_info
Kindly how to apply for loan please,loan_info
I want to loan details now,loan_info
"Hello, loan interest details please",loan_info
"Hello, loan details as soon as possible",loan_info
"Hello, loan interest details please",loan_info
loan details immediately,loan_info
Help me to loan interest details today,loan_info
loan eligibility as soon as possible,loan_info
"Hi, loan interest details",loan_info
I want to UPI is not working please,upi_issue
Kindly UPI payment failed today,upi_issue
Please UPI issue,upi_issue
"Sir, UPI not responding as soon as possible",upi_issue
Help me to UPI issue now,upi_issue
UPI transaction pending now,upi_issue
I want to UPI is not working now,upi_issue
"Sir, UPI transaction pending today",upi_issue
"Hi, UPI issue now",upi_issue
"Sir, UPI is not working",upi_issue
Please UPI payment failed please,upi_issue
UPI payment failed immediately,upi_issue
"Hi, UPI payment failed today",upi_issue
UPI transaction pending please,upi_issue
"Hi, UPI transaction pending today",upi_issue
I want to UPI issue immediately,upi_issue
UPI is not working as soon as possible,upi_issue
I want to UPI is not working immediately,upi_issue
Help me to UPI payment failed,upi_issue
"Hello, UPI is not working",upi_issue
"Hi, UPI not responding as soon as possible",upi_issue
"Hello, UPI not responding",upi_issue
"Hello, UPI not responding immediately",upi_issue
Can you UPI transaction pending today,upi_issue
UPI not responding immediately,upi_issue
"Hi, UPI issue as soon as possible",upi_issue
Help me to UPI is not working as soon as possible,upi_issue
Help me to UPI not responding,upi_issue
"Hi, UPI is not working please",upi_issue
"Hi, UPI issue now",upi_issue
Please UPI is not working today,upi_issue
Can you UPI is not working as soon as possible,upi_issue
"Hi, UPI issue today",upi_issue
"Sir, UPI transaction pending immediately",upi_issue
Help me to UPI payment failed now,upi_issue
"Sir, UPI issue please",upi_issue
"Hello, UPI issue today",upi_issue
Help me to UPI payment failed as soon as possible,upi_issue
Help me to UPI payment failed today,upi_issue
"Hi, UPI transaction pending",upi_issue
Can you UPI not responding immediately,upi_issue
"Sir, UPI is not working today",upi_issue
Can you UPI is not working please,upi_issue
I want to UPI payment failed,upi_issue
Kindly UPI issue please,upi_issue
Kindly UPI transaction pending as soon as possible,upi_issue
"Hello, UPI transaction pending now",upi_issue
"Hi, UPI issue immediately",upi_issue
"Hi, UPI issue as soon as possible",upi_issue
UPI transaction pending please,upi_issue
Can you UPI not responding immediately,upi_issue
Can you UPI payment failed please,upi_issue
Kindly UPI not responding,upi_issue
Please UPI issue immediately,upi_issue
"Hello, UPI issue please",upi_issue
I want to UPI is not working now,upi_issue
I want to UPI not responding,upi_issue
"Hi, UPI issue as soon as possible",upi_issue
Can you UPI issue now,upi_issue
Help me to UPI transaction pending today,upi_issue
Can you UPI payment failed today,upi_issue
I want to UPI payment failed today,upi_issue
Please UPI issue please,upi_issue
UPI issue as soon as possible,upi_issue
UPI issue as soon as possible,upi_issue
Help me to UPI transaction pending please,upi_issue
Can you UPI is not working as soon as possible,upi_issue
I want to UPI transaction pending please,upi_issue
I want to UPI is not working as soon as possible,upi_issue
"Hi, UPI not responding please",upi_issue
"Hello, UPI not responding as soon as possible",upi_issue
"Hello, UPI not responding",upi_issue
Please UPI is not working immediately,upi_issue
Please UPI issue,upi_issue
Kindly UPI transaction pending today,upi_issue
Can you UPI issue please,upi_issue
Please UPI payment failed,upi_issue
I want to UPI not responding as soon as possible,upi_issue
"Hi, UPI is not working please",upi_issue
Help me to UPI transaction pending today,upi_issue
UPI payment failed as soon as possible,upi_issue
"Hi, UPI payment failed please",upi_issue
"Sir, UPI transaction pending please",upi_issue
Please UPI issue as soon as possible,upi_issue
"Hi, UPI is not working now",upi_issue
"Hi, UPI transaction pending please",upi_issue
"Sir, UPI not responding",upi_issue
Please UPI transaction pending immediately,upi_issue
"Hello, UPI transaction pending today",upi_issue
"Hello, UPI transaction pending today",upi_issue
Please UPI transaction pending as soon as possible,upi_issue
Please UPI payment failed now,upi_issue
I want to UPI not responding please,upi_issue
"Hi, UPI transaction pending immediately",upi_issue
Can you UPI is not working please,upi_issue
Can you UPI transaction pending,upi_issue
"Hello, UPI issue please",upi_issue
"Sir, UPI payment failed please",upi_issue
Please UPI payment failed please,upi_issue
I want to UPI transaction pending,upi_issue
I want to UPI payment failed today,upi_issue
Kindly UPI payment failed immediately,upi_issue
Can you UPI transaction pending as soon as possible,upi_issue
"Hello, UPI transaction pending as soon as possible",upi_issue
Help me to UPI not responding today,upi_issue
I want to UPI issue,upi_issue
UPI issue,upi_issue
"Hi, UPI not responding as soon as possible",upi_issue
Help me to UPI not responding today,upi_issue
"Hi, UPI transaction pending immediately",upi_issue
I want to UPI issue,upi_issue
Please UPI payment failed,upi_issue
UPI not responding as soon as possible,upi_issue
"Hi, UPI issue as soon as possible",upi_issue
UPI is not working immediately,upi_issue
I want to UPI is not working immediately,upi_issue
Please UPI payment failed,upi_issue
Kindly UPI payment failed,upi_issue
Kindly UPI is not working,upi_issue
"Sir, UPI payment failed as soon as possible",upi_issue
UPI payment failed as soon as possible,upi_issue
I want to UPI transaction pending now,upi_issue
"Hello, UPI issue immediately",upi_issue
"Hello, UPI not responding now",upi_issue
"Hi, UPI payment failed now",upi_issue
Please UPI transaction pending now,upi_issue
Help me to UPI not responding immediately,upi_issue
UPI issue today,upi_issue
Kindly UPI issue,upi_issue
UPI transaction pending please,upi_issue
UPI transaction pending please,upi_issue
I want to UPI payment failed as soon as possible,upi_issue
Can you UPI transaction pending as soon as possible,upi_issue
UPI issue today,upi_issue
Kindly UPI not responding now,upi_issue
I want to UPI not responding as soon as possible,upi_issue
"Sir, UPI is not working today",upi_issue
Can you UPI transaction pending today,upi_issue
Kindly UPI transaction pending now,upi_issue
Kindly UPI not responding immediately,upi_issue
Kindly UPI is not working immediately,upi_issue
"Hello, UPI is not working today",upi_issue
Can you UPI not responding now,upi_issue
UPI is not working immediately,upi_issue
I want to UPI transaction pending please,upi_issue
Can you UPI issue today,upi_issue
UPI issue,upi_issue
"Sir, UPI is not working now",upi_issue
"Sir, UPI issue today",upi_issue
UPI issue immediately,upi_issue
"Hello, UPI transaction pending immediately",upi_issue
I want to UPI issue as soon as possible,upi_issue
Kindly UPI is not working please,upi_issue
Please UPI transaction pending as soon as possible,upi_issue
"Hi, UPI is not working now",upi_issue
"Hello, UPI is not working please",upi_issue
UPI not responding as soon as possible,upi_issue
Help me to UPI transaction pending,upi_issue
Help me to UPI payment failed today,upi_issue
"Hello, UPI issue",upi_issue
Kindly UPI transaction pending please,upi_issue
Please UPI is not working immediately,upi_issue
"Sir, UPI transaction pending as soon as possible",upi_issue
Kindly UPI is not working as soon as possible,upi_issue
I want to UPI issue as soon as possible,upi_issue
"Hello, UPI transaction pending as soon as possible",upi_issue
Can you UPI is not working today,upi_issue
Can you UPI payment failed,upi_issue
Please UPI not responding immediately,upi_issue
UPI not responding today,upi_issue
UPI payment failed immediately,upi_issue
"Hi, UPI not responding",upi_issue
UPI is not working please,upi_issue
I want to UPI not responding now,upi_issue
"Sir, UPI payment failed please",upi_issue
"Sir, UPI payment failed please",upi_issue
"Sir, UPI payment failed",upi_issue
Please UPI payment failed as soon as possible,upi_issue
"Hi, UPI issue please",upi_issue
Help me to UPI transaction pending,upi_issue
Help me to UPI issue today,upi_issue
"Hello, UPI transaction pending immediately",upi_issue
"Hello, UPI is not working immediately",upi_issue
"Hello, UPI not responding immediately",upi_issue
"Hello, UPI payment failed immediately",upi_issue
UPI not responding today,upi_issue
Can you UPI payment failed please,upi_issue
"Hello, UPI is not working now",upi_issue
I want to UPI is not working immediately,upi_issue
Kindly UPI payment failed today,upi_issue
Kindly UPI payment failed please,upi_issue
Can you UPI transaction pending please,upi_issue
